id_district;male_population;female_population;total_population
5;107589;116627;224216
5;108821;117711;226532
5;109778;118656;228434
5;110531;119495;230026
5;111167;120268;231435
5;111782;121020;232802
5;112182;121599;233781
5;112703;122245;234948
5;113426;123007;236433
5;114441;123939;238380
5;115855;125105;240960
