id_district;male_population;female_population;total_population
3;14000;13500;27500
3;15000;14500;29500
3;16000;15500;31500
3;17000;16500;33500
3;18000;17500;35500
3;19000;18500;37500
3;20000;19500;39500
3;21000;20500;41500
3;22000;21500;43500
3;23000;22500;45500
3;24000;23500;47500
3;25000;24500;49500
3;26000;25500;51500
3;27000;26500;53500
3;28000;27500;55500
3;29000;28500;57500
3;30000;29500;59500
3;14000;13500;27500
3;15000;14500;29500
3;16000;15500;31500
3;17000;16500;33500
3;18000;17500;35500
3;19000;18500;37500
3;20000;19500;39500
3;21000;20500;41500
3;22000;21500;43500
3;23000;22500;45500
3;24000;23500;47500
3;25000;24500;49500
3;26000;25500;51500
3;27000;26500;53500
3;28000;27500;55500
3;29000;28500;57500
3;30000;29500;59500
